Civilians (English),9b6d3eb4c698079b,02582f3da1f8daf5
Civilians (French),02e78bf4ec3d95ff,c42d4beed5511714
Civilians (German),b8375e877e52d40d,bf0b165bd7409a41
Civilians (Italian),32c10e5a87761b52,6a52aa43a30affba
Civilians (Japanese),4b8f9a84127fb95b,8a98c9c339e9fa88
Civilians (Portuguese),89065ec0e600bd20,f7900c5bea715174
"Civilians (Spanish, Castilian)",f4835c7b2cac6b14,cd2493d9d094ed72
"Civilians (Spanish, LatAm)",329703fef03a2d5a,5e9872c48a90d337
content/audio/vo_bugs,89de9c3d26d2adc1,3b2c86dd5b316eb2
content/audio/vo_illuminate,046d4441a6dae0a9,
content/audio/vo_objects,fc5b6bff0db90aab,
content/audio/vo_radio,f6fb08cc02d24255,
content/audio/vo_speakers,f6fb08cc02d24255,
Democracy Officer (in mission) (English),7c221cf5b12213ac,
Democracy Officer (in mission) (French),ab7ac64645e2fdf5,
Democracy Officer (in mission) (Italian),f0ba876c45823873,
Democracy Officer (in mission) (Japanese),8032cfd34661b7e4,
Democracy Officer (in mission) (Portuguese),799fd3e66faab520,
"Democracy Officer (in mission) (Spanish, Castilian)",026aa93be6d095ba,
"Democracy Officer (in mission) (Spanish, LatAm)",8569da26c551f903,
Democracy Officer (on mission) (German),8ff1ad223459a2f1,
Democracy Officer (on ship) (English),5ab4204a4e0ccbe8,
Democracy Officer (on ship) (French),59e7ba1de4af3cd3,
Democracy Officer (on ship) (German),2d79d624be0debf8,
Democracy Officer (on ship) (Italian),91cb74a69cb608e3,
Democracy Officer (on ship) (Japanese),f684a08f07d67b9d,
Democracy Officer (on ship) (Portuguese),bf7aa46f495a4d9b,
"Democracy Officer (on ship) (Spanish, Castilian)",ce9c1124358b84d0,
"Democracy Officer (on ship) (Spanish, LatAm)",7ef96452d7e97878,
Eagle 1 (English),7c221cf5b12213ac,
Eagle 1 (French),ab7ac64645e2fdf5,
Eagle 1 (German),8ff1ad223459a2f1,
Eagle 1 (Italian),f0ba876c45823873,
Eagle 1 (Japanese),8032cfd34661b7e4,
Eagle 1 (Portuguese),799fd3e66faab520,
"Eagle 1 (Spanish, Castilian)",026aa93be6d095ba,
"Eagle 1 (Spanish, LatAm)",8569da26c551f903,
Extraction Pilot (English),7c221cf5b12213ac,
Extraction Pilot (French),ab7ac64645e2fdf5,
Extraction Pilot (German),8ff1ad223459a2f1,
Extraction Pilot (Italian),f0ba876c45823873,
Extraction Pilot (Japanese),8032cfd34661b7e4,
Extraction Pilot (Portuguese),799fd3e66faab520,
"Extraction Pilot (Spanish, Castilian)",026aa93be6d095ba,
"Extraction Pilot (Spanish, LatAm)",8569da26c551f903,
General Brasch (English),7c221cf5b12213ac,a0a29953a5d45065
General Brasch (French),9cef7b87f7a584c8,ab7ac64645e2fdf5
General Brasch (German),8f5b881a9b27b51f,8ff1ad223459a2f1
General Brasch (Italian),a6411952d991f37a,f0ba876c45823873
General Brasch (Japanese),8032cfd34661b7e4,8eb3ba8c8c27aa86
General Brasch (Portuguese),27ac6d1f4e3b144c,799fd3e66faab520
"General Brasch (Spanish, Castilian)",026aa93be6d095ba,139aad3bcb6a77b7
"General Brasch (Spanish, LatAm)",8569da26c551f903,e4011fdf1218df18
Mission Control (English),7c221cf5b12213ac,
Mission Control (French),ab7ac64645e2fdf5,
Mission Control (German),8ff1ad223459a2f1,
Mission Control (Italian),f0ba876c45823873,
Mission Control (Japanese),8032cfd34661b7e4,
Mission Control (Portuguese),799fd3e66faab520,
"Mission Control (Spanish, Castilian)",026aa93be6d095ba,
"Mission Control (Spanish, LatAm)",8569da26c551f903,
Ship Hub (e.g. Ship TV) (English),5ab4204a4e0ccbe8,
Ship Hub (e.g. Ship TV) (English),5ab4204a4e0ccbe8,
Ship Hub (e.g. Ship TV) (French),59e7ba1de4af3cd3,
Ship Hub (e.g. Ship TV) (German),2d79d624be0debf8,
Ship Hub (e.g. Ship TV) (Italian),91cb74a69cb608e3,
Ship Hub (e.g. Ship TV) (Japanese),f684a08f07d67b9d,
Ship Hub (e.g. Ship TV) (Portuguese),bf7aa46f495a4d9b,
"Ship Hub (e.g. Ship TV) (Spanish, Castilian)",ce9c1124358b84d0,
"Ship Hub (e.g. Ship TV) (Spanish, LatAm)",7ef96452d7e97878,
Ship Master (English),5ab4204a4e0ccbe8,
Ship Master (French),59e7ba1de4af3cd3,
Ship Master (German),2d79d624be0debf8,
Ship Master (Italian),91cb74a69cb608e3,
Ship Master (Japanese),f684a08f07d67b9d,
Ship Master (Portuguese),bf7aa46f495a4d9b,
"Ship Master (Spanish, Castilian)",ce9c1124358b84d0,
"Ship Master (Spanish, LatAm)",7ef96452d7e97878,
Ship Service Technician (English),5ab4204a4e0ccbe8,
Ship Service Technician (French),59e7ba1de4af3cd3,
Ship Service Technician (German),2d79d624be0debf8,
Ship Service Technician (Italian),91cb74a69cb608e3,
Ship Service Technician (Japanese),f684a08f07d67b9d,
Ship Service Technician (Portuguese),bf7aa46f495a4d9b,
"Ship Service Technician (Spanish, Castilian)",ce9c1124358b84d0,
"Ship Service Technician (Spanish, LatAm)",7ef96452d7e97878,
Tutorial Dummy (English),7c221cf5b12213ac,a0a29953a5d45065
Tutorial Dummy (French),9cef7b87f7a584c8,ab7ac64645e2fdf5
Tutorial Dummy (German),8f5b881a9b27b51f,8ff1ad223459a2f1
Tutorial Dummy (Italian),a6411952d991f37a,f0ba876c45823873
Tutorial Dummy (Japanese),8032cfd34661b7e4,8eb3ba8c8c27aa86
Tutorial Dummy (Portuguese),27ac6d1f4e3b144c,799fd3e66faab520
"Tutorial Dummy (Spanish, Castilian)",026aa93be6d095ba,139aad3bcb6a77b7
"Tutorial Dummy (Spanish, LatAm)",8569da26c551f903,e4011fdf1218df18
Tutorial Facility Operator (English),7c221cf5b12213ac,a0a29953a5d45065
Tutorial Facility Operator (French),9cef7b87f7a584c8,ab7ac64645e2fdf5
Tutorial Facility Operator (German),8f5b881a9b27b51f,8ff1ad223459a2f1
Tutorial Facility Operator (Italian),a6411952d991f37a,f0ba876c45823873
Tutorial Facility Operator (Japanese),8032cfd34661b7e4,8eb3ba8c8c27aa86
Tutorial Facility Operator (Portuguese),27ac6d1f4e3b144c,799fd3e66faab520
"Tutorial Facility Operator (Spanish, Castilian)",026aa93be6d095ba,139aad3bcb6a77b7
"Tutorial Facility Operator (Spanish, LatAm)",8569da26c551f903,e4011fdf1218df18
Tutorial Helldiver Recruit (English),a0a29953a5d45065,
Tutorial Helldiver Recruit (French),9cef7b87f7a584c8,
Tutorial Helldiver Recruit (German),8f5b881a9b27b51f,
Tutorial Helldiver Recruit (Italian),a6411952d991f37a,
Tutorial Helldiver Recruit (Japanese),8eb3ba8c8c27aa86,
Tutorial Helldiver Recruit (Portuguese),27ac6d1f4e3b144c,
"Tutorial Helldiver Recruit (Spanish, Castilian)",139aad3bcb6a77b7,
"Tutorial Helldiver Recruit (Spanish, LatAm)",e4011fdf1218df18,
Tutorial Pilot (English),7c221cf5b12213ac,a0a29953a5d45065
Tutorial Pilot (French),9cef7b87f7a584c8,ab7ac64645e2fdf5
Tutorial Pilot (German),8f5b881a9b27b51f,8ff1ad223459a2f1
Tutorial Pilot (Italian),a6411952d991f37a,f0ba876c45823873
Tutorial Pilot (Japanese),8032cfd34661b7e4,8eb3ba8c8c27aa86
Tutorial Pilot (Portuguese),27ac6d1f4e3b144c,799fd3e66faab520
"Tutorial Pilot (Spanish, Castilian)",026aa93be6d095ba,139aad3bcb6a77b7
"Tutorial Pilot (Spanish, LatAm)",8569da26c551f903,e4011fdf1218df18